cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
7512,0.22055,40.1876,19.773897407407407,19.204235308641977,18.567566049382716,18.15474135802469,18.03259925925926,19.69639,19.09674,18.43992,18.0794,17.90946,3.202592592593013e-05,7.02999999999953e-05
7779,0.37986,41.2959,20.809499838709677,20.25880709677419,19.758958387096772,19.486285483870965,19.051216935483872,20.40012,20.051070000000003,19.638735,19.36473,18.838265,-5.125806451589228e-06,-6.64999999999693e-06
7847,0.2116,39.9676,20.19557141025641,19.576861923076923,18.924384358974358,18.49380846153846,18.389679102564102,19.5475,19.10591,18.4619,18.06507,17.933304999999997,-3.4525641025737384e-06,1.0849999999978885e-05
7876,0.0749,37.4763,19.318179655172415,18.428499310344826,17.832006206896555,17.28148655172414,16.87258344827586,18.39669,17.19904,16.49441,16.01212,15.97126,-5.4118620689649965e-05,-8.80600000000009e-05
8046,0.2576,40.6088,20.79649719512195,20.15753292682927,19.484072926829267,19.12837975609756,18.72112231707317,20.26418,19.576885,18.946240000000003,18.632405,18.28526,-2.0979268292679675e-05,-1.7899999999987303e-05
8213,0.18468,39.6548,20.35078984375,19.481824375,18.7342765625,18.21237234375,17.95275390625,19.842480000000002,18.880515000000003,18.081955,17.6139,17.56306,8.5843749999883e-06,4.714999999999575e-05
8495,0.21353,40.0084,20.462252125,19.891085625,19.1451025,18.705523625,18.484956375000003,20.02718,19.301885,18.638125000000002,18.198075000000003,18.20892,-4.627249999999753e-05,-7.999999999999665e-05
8719,0.11628,38.5408,19.605509827586207,18.675487931034482,17.98886896551724,17.526414655172413,17.36239327586207,18.855655,17.932325,17.258490000000002,16.777495000000002,16.562125,-1.8270689655166792e-05,-2.884999999998995e-05
8921,0.1441,39.016,19.78979872727273,18.837851272727274,18.114302363636366,17.582064545454546,17.356506727272727,19.535,18.21595,17.56849,17.0948,16.90947,-6.1527272727325855e-06,-3.06000000000195e-05
9032,0.25249,40.4066,20.51760355263158,19.881113815789472,19.276977236842104,18.94876355263158,18.634921447368423,19.98977,19.58128,18.90453,18.569765,18.31189,-4.4582894736834855e-05,-8.92000000000114e-05
9457,0.25672,40.5023,19.9948462962963,19.554759999999998,18.90502913580247,18.566155061728395,18.25355790123457,19.70172,19.37796,18.74793,18.43234,18.04965,4.047407407407349e-05,5.67000000000206e-05
9467,0.21885,40.1925,20.36450911764706,19.75503838235294,19.03985632352941,18.511967352941177,18.359310588235292,19.836945,19.32145,18.585475,18.144235000000002,18.057665,-5.604411764694354e-06,1.1500000000053151e-06
10010,0.09968,38.4377,19.74841372093023,18.607872790697673,17.835271162790697,17.28792930232558,17.063492790697673,19.28802,17.8965,17.2822,16.71962,16.47451,4.002395348836843e-05,7.38000000000127e-06
10026,0.03174,35.6746,21.68196125,20.842195,20.142806875,19.387315,18.44419125,22.451555,22.056365,21.387215,20.641115,19.70435,-0.00012011999999999727,-0.0001476099999999955
10550,0.29923,41.0113,20.541314,19.955904166666667,19.345336,19.090321333333335,18.61870383333333,20.11937,19.579215,18.97894,18.640335,18.199945,-2.654166666666195e-05,-7.049999999980651e-06
12779,0.07891,37.7843,18.929996499999998,17.8809225,17.26082225,16.7822295,16.531136749999998,18.43493,17.297235,16.671644999999998,16.173755,15.91433,-4.257549999999303e-05,-2.1764999999993e-05
12781,0.08282,37.9939,19.420926666666666,18.34046181818182,17.565238181818184,17.04323696969697,16.71874303030303,18.69777,17.3682,16.69337,16.267,16.05681,2.6047272727268347e-05,1.70599999999992e-05
12841,0.29208,40.7505,20.152629230769232,19.482434769230768,18.811267076923077,18.544899384615388,18.157040769230772,19.82183,19.28811,18.63439,18.33772,17.92535,-2.7852307692313465e-05,-3.45999999999957e-05
